Date,Precip,Air max,min,RH max,min
20170101,0.04,59,46,96,61
20170102,0.07,60,51,87,66
20170103,0.04,61,49,92,57
20170104,0.01,64,47,90,55
20170105,0.02,60,54,98,79
20170106,0.03,63,50,98,67
20170107,0.03,72,50,92,33
20170108,0.03,77,55,73,34
20170109,0.01,62,56,96,68
20170110,0,65,52,97,62
20170111,0,60,53,96,88
20170112,0,60,52,97,85
20170113,0.08,58,51,97,75
20170114,0.01,63,51,93,59
20170115,0.01,62,51,92,75
20170116,0.2,64,51,94,66
20170117,0,67,44,95,48
20170118,0.01,62,46,90,67
20170119,0.47,63,53,97,66
20170120,1.7,58,52,96,69
20170121,0.07,59,50,84,63
20170122,0.32,61,50,97,67
20170123,0.4,57,49,96,72
20170124,0.03,57,46,89,59
20170125,0,58,43,86,49
20170126,0,61,42,87,47
20170127,0,63,44,67,16
20170128,0,68,41,62,21
20170129,0,75,45,63,14
20170130,0,76,51,48,15
20170131,0,74,48,96,24
20170201,0,69,44,96,38
20170202,0,69,46,93,28
20170203,0,68,51,91,51
20170204,0,65,54,96,69
20170205,0,61,53,92,71
20170206,0.05,59,54,97,74
20170207,0.2,67,58,98,69
20170208,0,70,55,96,71
20170209,0,76,56,98,65
20170210,0,69,56,98,73
20170211,0.02,62,54,96,71
20170212,0,65,49,91,55
20170213,0,70,50,95,46
20170214,0,66,54,95,70
20170215,0,76,50,98,44
20170216,0,70,50,92,48
20170217,1.16,63,52,96,63
20170218,0.15,61,51,97,67
20170219,0.09,59,52,93,65
20170220,0,68,52,92,58
20170221,0,75,53,94,52
20170222,0,63,51,95,62
20170223,0,59,46,84,47
20170224,0,62,42,81,46
20170225,0,62,41,83,49
20170226,0.07,58,50,92,73
20170227,3.23,57,52,100,93
20170228,0,60,50,100,62
20170301,0,69,45,91,37
20170302,0,73,46,63,17
20170303,0,76,47,81,16
20170304,0,64,49,89,57
20170305,0.01,62,52,91,58
20170306,0,60,45,81,42
20170307,0,70,45,81,35
20170308,0,77,50,92,32
20170309,0,79,53,94,36
20170310,0,79,54,79,36
20170311,0,73,53,95,44
20170312,0,72,53,98,64
20170313,0,69,51,98,63
20170314,0,68,50,97,30
20170315,0,68,51,94,48
20170316,0,73,58,95,58
20170317,0,70,51,98,64
20170318,0,73,51,98,60
20170319,0,70,55,97,60
20170320,0,67,55,86,62
20170321,0,71,53,89,51
20170322,0.23,66,57,97,71
20170323,0,65,51,82,56
20170324,0,68,48,89,54
20170325,0,68,51,93,60
20170326,0,67,54,95,68
20170327,0,67,54,92,62
20170328,0,70,51,93,39
20170329,0,79,51,77,19
20170330,0.01,70,51,,
20170331,0,66,49,,
20170401,0,69,49,77,36
20170402,0,75,51,91,38
20170403,0,64,56,87,63
20170404,0,68,57,86,59
20170405,0,79,55,94,40
20170406,0.01,74,55,97,48
20170407,0,72,54,94,48
20170408,0,68,55,91,61
20170409,0,68,49,90,46
20170410,0,72,50,91,43
20170411,0,72,51,93,41
20170412,0,72,52,94,45
20170413,0,73,57,90,43
20170414,0,66,53,85,49
20170415,0,72,52,84,27
20170416,0,75,54,91,31
20170417,0,77,53,95,29
20170418,0,73,59,95,59
20170419,0,73,57,94,60
20170420,0,72,55,96,52
20170421,0,83,53,94,35
20170422,0,83,57,96,34
20170423,0,72,58,95,66
20170424,0,68,59,83,63
20170425,0,69,56,90,54
20170426,0,73,54,93,54
20170427,0,70,58,93,67
20170428,0,75,57,94,43
20170429,0,81,55,87,11
20170430,0,85,60,48,14
20170501,0,79,55,93,23
20170502,0,73,58,96,61
20170503,0,77,58,93,51
20170504,0,76,59,90,61
20170505,0,65,60,90,74
20170506,0.09,63,51,92,54
20170507,0.75,59,50,94,69
20170508,0.01,68,50,91,51
20170509,0,65,57,92,69
20170510,0,70,59,91,63
20170511,0,70,58,91,64
20170512,0,70,59,89,69
20170513,0,69,56,84,57
20170514,0,66,54,88,60
20170515,0.01,64,56,75,48
20170516,0,65,56,79,53
20170517,0,66,57,82,61
20170518,0,70,57,91,60
20170519,0,83,55,95,28
20170520,0,85,54,,
20170521,0,80,59,93,49
20170522,0,75,59,95,60
20170523,0,75,59,95,60
20170524,0,71,58,93,59
20170525,0,69,58,81,56
20170526,0,70,59,85,51
20170527,0,70,57,85,57
20170528,0,70,54,90,62
20170529,0,68,59,90,71
20170530,0,67,58,92,69
20170531,0,66,58,94,71
20170601,0,69,58,95,67
20170602,0,73,62,88,67
20170603,0,68,61,90,77
20170604,0,70,59,94,71
20170605,0.01,66,59,96,80
